student_id,term,assigned_department,hope_rank
13,1,本院-内科（消化器・肝臓）,1.0
13,1,未配属,
46,2,柏-救急科,3.0
46,2,未配属,
43,1,柏-内科（循環器）,2.0
43,1,未配属,
80,2,本院-内科（消化器・肝臓）,2.0
80,2,未配属,
36,1,葛飾-皮膚科,1.0
36,1,未配属,
66,1,本院-内科（腫瘍・血液）,1.0
66,1,未配属,
96,1,本院-本院画像診断部,4.0
96,1,未配属,
56,3,第三-内科（呼吸器）,4.0
56,3,未配属,
28,1,第三-総合診療部（その他）,1.0
28,1,未配属,
50,3,本院-整形外科,1.0
50,3,未配属,
59,1,柏-分院外科,1.0
59,1,未配属,
100,1,第三-内科（消化器・肝臓）,1.0
100,1,未配属,
69,2,本院-内科（リウマチ・膠原病）,1.0
69,2,未配属,
30,1,本院-心臓外科,1.0
30,1,未配属,
39,3,本院-内科（脳神経）,2.0
39,3,未配属,
86,3,本院-精神神経科,1.0
86,3,未配属,
31,1,葛飾-内科（消化器・肝臓）,1.0
31,1,未配属,
35,3,本院-心臓外科,1.0
35,3,未配属,
3,2,本院-耳鼻咽喉・頭頸部外科,4.0
3,2,未配属,
23,3,第三-総合診療部（その他）,1.0
23,3,未配属,
25,2,柏-救急科,3.0
25,2,未配属,
89,3,本院-内科（消化器・肝臓）,1.0
89,3,未配属,
47,2,葛飾-内科（消化器・肝臓）,3.0
47,2,未配属,
98,1,本院-内科（リウマチ・膠原病）,3.0
98,1,未配属,
73,1,本院-内科（脳神経）,5.0
73,1,未配属,
87,2,柏-救急科,2.0
87,2,未配属,
90,1,第三-分院放射線科,1.0
90,1,未配属,
33,1,本院-麻酔科,1.0
33,1,未配属,
24,2,第三-総合診療部（看護共修実習：2ターム目のみ）,1.0
24,2,未配属,
109,2,本院-精神神経科,3.0
109,2,未配属,
104,3,本院-救急科,1.0
104,3,未配属,
34,2,柏-泌尿器科,1.0
34,2,未配属,
76,1,第三-分院外科,1.0
76,1,未配属,
101,1,本院-産婦人科,1.0
101,1,未配属,
84,2,第三-総合診療部（看護共修実習：2ターム目のみ）,3.0
84,2,未配属,
26,1,本院-内科（脳神経）,2.0
26,1,未配属,
15,3,第三-内科（消化器・肝臓）,4.0
15,3,未配属,
77,2,本院-麻酔科,1.0
77,2,未配属,
83,1,本院-整形外科,1.0
83,1,未配属,
95,2,本院-救急科,2.0
95,2,未配属,
49,3,本院-形成外科,3.0
49,3,未配属,
48,2,本院-眼科,1.0
48,2,未配属,
19,1,葛飾-整形外科,1.0
19,1,未配属,
52,1,本院-耳鼻咽喉・頭頸部外科,15.0
52,1,未配属,
18,2,本院-本院放射線治療部,4.0
18,2,未配属,
57,2,葛飾-内科（呼吸器）,3.0
57,2,未配属,
88,1,葛飾-内科（呼吸器）,8.0
88,1,未配属,
1,1,第三-総合診療部（その他）,2.0
1,1,未配属,
99,1,柏-救急科,3.0
99,1,未配属,
60,2,第三-内科（糖尿病・代謝・内分泌）,1.0
60,2,未配属,
54,3,本院-麻酔科,1.0
54,3,未配属,
105,3,本院-眼科,1.0
105,3,未配属,
65,3,本院-精神神経科,1.0
65,3,未配属,
72,3,葛飾-内科（消化器・肝臓）,2.0
72,3,未配属,
93,3,本院-眼科,1.0
93,3,未配属,
45,1,第三-内科（循環器）,1.0
45,1,未配属,
85,1,本院-本院画像診断部,2.0
85,1,未配属,
64,2,本院-内科（循環器）,9.0
64,2,未配属,
68,3,本院-本院画像診断部,1.0
68,3,未配属,
97,1,本院-麻酔科,2.0
97,1,未配属,
29,2,第三-分院放射線科,2.0
29,2,未配属,
91,2,本院-形成外科,3.0
91,2,未配属,
14,2,本院-麻酔科,1.0
14,2,未配属,
21,1,第三-内科（呼吸器）,1.0
21,1,未配属,
78,2,葛飾-内科（腎臓・高血圧）,3.0
78,2,未配属,
5,3,葛飾-内科（腎臓・高血圧）,5.0
5,3,未配属,
82,2,本院-本院画像診断部,2.0
82,2,未配属,
11,3,葛飾-内科（呼吸器）,1.0
11,3,未配属,
62,3,第三-泌尿器科,2.0
62,3,未配属,
61,1,葛飾-産婦人科,1.0
61,1,未配属,
32,1,葛飾-内科（糖尿病・代謝・内分泌）,2.0
32,1,未配属,
58,1,本院-麻酔科,2.0
58,1,未配属,
81,2,本院-本院画像診断部,1.0
81,2,未配属,
103,3,本院-内科（消化器・肝臓）,2.0
103,3,未配属,
44,1,本院-麻酔科,1.0
44,1,未配属,
51,3,第三-内科（糖尿病・代謝・内分泌）,1.0
51,3,未配属,
106,1,本院-産婦人科,3.0
106,1,未配属,
92,1,柏-内科（脳神経）,2.0
92,1,未配属,
79,1,本院-精神神経科,2.0
79,1,未配属,
40,1,第三-内科（脳神経）,7.0
40,1,未配属,
6,3,第三-産婦人科,1.0
6,3,未配属,
102,1,本院-精神神経科,2.0
102,1,未配属,
27,1,本院-内科（呼吸器）,9.0
27,1,未配属,
38,3,本院-形成外科,3.0
38,3,未配属,
70,3,本院-耳鼻咽喉・頭頸部外科,2.0
70,3,未配属,
7,3,柏-内科（消化器・肝臓）,1.0
7,3,未配属,
4,2,第三-泌尿器科,3.0
4,2,未配属,
94,1,本院-耳鼻咽喉・頭頸部外科,5.0
94,1,未配属,
71,2,本院-耳鼻咽喉・頭頸部外科,3.0
71,2,未配属,
16,3,葛飾-皮膚科,2.0
16,3,未配属,
9,2,本院-内科（腎臓・高血圧）,1.0
9,2,未配属,
55,2,本院-形成外科,3.0
55,2,未配属,
2,1,本院-整形外科,2.0
2,1,未配属,
41,3,本院-精神神経科,7.0
41,3,未配属,
42,2,柏-産婦人科,3.0
42,2,未配属,
20,1,本院-眼科,3.0
20,1,未配属,
67,3,柏-内科（呼吸器）,6.0
67,3,未配属,
108,3,本院-本院画像診断部,10.0
108,3,未配属,
8,3,本院-内科（リウマチ・膠原病）,3.0
8,3,未配属,
22,2,本院-精神神経科,1.0
22,2,未配属,
12,1,柏-救急科,1.0
12,1,未配属,
75,2,本院-内科（呼吸器）,2.0
75,2,未配属,
10,3,葛飾-産婦人科,5.0
10,3,未配属,
63,1,本院-眼科,2.0
63,1,未配属,
17,3,本院-内科（脳神経）,5.0
17,3,未配属,
53,1,本院-感染制御科,13.0
53,1,未配属,
74,1,本院-脳神経外科,1.0
74,1,未配属,
37,2,本院-脳神経外科,1.0
37,2,未配属,
13,4,柏-救急科,2.0
13,4,未配属,
46,5,第三-総合診療部（その他）,2.0
46,5,未配属,
43,4,第三-内科（腎臓・高血圧）,6.0
43,4,未配属,
80,5,本院-内科（脳神経）,3.0
80,5,未配属,
36,2,本院-内科（糖尿病・代謝・内分泌）,4.0
36,2,未配属,
66,4,葛飾-内科（循環器）,4.0
66,4,未配属,
96,4,本院-内科（循環器）,5.0
96,4,未配属,
56,6,葛飾-内科（循環器）,5.0
56,6,未配属,
28,2,柏-内科（呼吸器）,3.0
28,2,未配属,
50,4,本院-内科（リウマチ・膠原病）,2.0
50,4,未配属,
59,4,第三-内科（消化器・肝臓）,3.0
59,4,未配属,
100,2,第三-産婦人科,2.0
100,2,未配属,
69,5,本院-内科（脳神経）,2.0
69,5,未配属,
30,4,柏-救急科,4.0
30,4,未配属,
39,6,本院-本院画像診断部,3.0
39,6,未配属,
86,6,柏-内科（消化器・肝臓）,5.0
86,6,未配属,
31,2,本院-救急科,18.0
31,2,未配属,
35,6,本院-形成外科,3.0
35,6,未配属,
3,5,本院-内科（リウマチ・膠原病）,2.0
3,5,未配属,
23,4,第三-内科（呼吸器）,2.0
23,4,未配属,
25,5,第三-内科（腎臓・高血圧）,6.0
25,5,未配属,
89,6,本院-耳鼻咽喉・頭頸部外科,3.0
89,6,未配属,
47,5,本院-リハビリテーション科,4.0
47,5,未配属,
98,4,葛飾-内科（消化器・肝臓）,6.0
98,4,未配属,
73,2,柏-内科（循環器）,8.0
73,2,未配属,
87,3,本院-麻酔科,5.0
87,3,未配属,
90,4,葛飾-内科（呼吸器）,2.0
90,4,未配属,
33,4,本院-内科（脳神経）,8.0
33,4,未配属,
24,3,本院-リハビリテーション科,7.0
24,3,未配属,
109,3,本院-救急科,5.0
109,3,未配属,
104,6,本院-本院画像診断部,2.0
104,6,未配属,
34,3,葛飾-内科（糖尿病・代謝・内分泌）,2.0
34,3,未配属,
76,2,本院-精神神経科,2.0
76,2,未配属,
101,4,第三-内科（糖尿病・代謝・内分泌）,2.0
101,4,未配属,
84,3,柏-分院外科,4.0
84,3,未配属,
26,4,葛飾-整形外科,4.0
26,4,未配属,
15,6,柏-内科（循環器）,1.0
15,6,未配属,
77,3,本院-耳鼻咽喉・頭頸部外科,3.0
77,3,未配属,
83,4,本院-内科（消化器・肝臓）,4.0
83,4,未配属,
95,5,葛飾-内科（消化器・肝臓）,1.0
95,5,未配属,
49,6,本院-リハビリテーション科,4.0
49,6,未配属,
48,5,葛飾-内科（呼吸器）,3.0
48,5,未配属,
19,2,本院-整形外科,7.0
19,2,未配属,
52,4,本院-内科（脳神経）,6.0
52,4,未配属,
18,5,本院-リハビリテーション科,6.0
18,5,未配属,
57,3,本院-内科（糖尿病・代謝・内分泌）,4.0
57,3,未配属,
88,4,本院-心臓外科,1.0
88,4,未配属,
1,4,本院-感染制御科,5.0
1,4,未配属,
99,4,本院-麻酔科,6.0
99,4,未配属,
60,5,本院-感染制御科,2.0
60,5,未配属,
54,6,本院-感染制御科,2.0
54,6,未配属,
105,6,本院-整形外科,6.0
105,6,未配属,
65,6,本院-麻酔科,2.0
65,6,未配属,
72,6,本院-リハビリテーション科,8.0
72,6,未配属,
93,4,本院-産婦人科,4.0
93,4,未配属,
45,4,本院-麻酔科,2.0
45,4,未配属,
85,4,本院-リハビリテーション科,4.0
85,4,未配属,
64,5,柏-内科（脳神経）,13.0
64,5,未配属,
68,6,本院-精神神経科,2.0
68,6,未配属,
97,4,本院-リハビリテーション科,3.0
97,4,未配属,
29,5,本院-内科（呼吸器）,4.0
29,5,未配属,
91,5,柏-救急科,11.0
91,5,未配属,
14,3,本院-整形外科,7.0
14,3,未配属,
21,4,柏-内科（循環器）,2.0
21,4,未配属,
78,5,第三-総合診療部（その他）,2.0
78,5,未配属,
5,6,第三-内科（消化器・肝臓）,9.0
5,6,未配属,
82,5,本院-耳鼻咽喉・頭頸部外科,3.0
82,5,未配属,
11,6,葛飾-内科（消化器・肝臓）,3.0
11,6,未配属,
62,6,本院-眼科,7.0
62,6,未配属,
61,4,葛飾-内科（腎臓・高血圧）,4.0
61,4,未配属,
32,4,本院-本院放射線治療部,3.0
32,4,未配属,
58,4,本院-内科（消化器・肝臓）,6.0
58,4,未配属,
81,5,柏-内科（消化器・肝臓）,3.0
81,5,未配属,
103,6,本院-整形外科,3.0
103,6,未配属,
44,2,第三-分院外科,5.0
44,2,未配属,
51,6,柏-分院外科,5.0
51,6,未配属,
106,4,本院-耳鼻咽喉・頭頸部外科,6.0
106,4,未配属,
92,4,第三-内科（脳神経）,4.0
92,4,未配属,
79,4,本院-形成外科,5.0
79,4,未配属,
40,2,第三-内科（呼吸器）,13.0
40,2,未配属,
6,4,本院-形成外科,2.0
6,4,未配属,
102,2,葛飾-泌尿器科,4.0
102,2,未配属,
27,4,本院-本院画像診断部,11.0
27,4,未配属,
38,4,柏-救急科,1.0
38,4,未配属,
70,4,本院-救急科,7.0
70,4,未配属,
7,6,柏-内科（呼吸器）,3.0
7,6,未配属,
4,3,本院-麻酔科,4.0
4,3,未配属,
94,4,本院-内科（呼吸器）,3.0
94,4,未配属,
71,5,柏-内科（循環器）,5.0
71,5,未配属,
16,4,本院-本院画像診断部,3.0
16,4,未配属,
9,5,柏-内科（呼吸器）,2.0
9,5,未配属,
55,3,本院-リハビリテーション科,2.0
55,3,未配属,
2,4,葛飾-内科（糖尿病・代謝・内分泌）,1.0
2,4,未配属,
41,4,本院-救急科,11.0
41,4,未配属,
42,3,本院-救急科,14.0
42,3,未配属,
20,4,葛飾-産婦人科,4.0
20,4,未配属,
67,6,本院-形成外科,4.0
67,6,未配属,
108,4,葛飾-産婦人科,11.0
108,4,未配属,
8,6,葛飾-内科（呼吸器）,2.0
8,6,未配属,
22,5,本院-麻酔科,3.0
22,5,未配属,
12,4,本院-耳鼻咽喉・頭頸部外科,7.0
12,4,未配属,
75,5,本院-本院画像診断部,1.0
75,5,未配属,
10,4,本院-眼科,1.0
10,4,未配属,
63,4,本院-泌尿器科,12.0
63,4,未配属,
17,6,第三-内科（糖尿病・代謝・内分泌）,6.0
17,6,未配属,
53,4,第三-内科（循環器）,7.0
53,4,未配属,
74,2,柏-内科（消化器・肝臓）,4.0
74,2,未配属,
37,5,本院-内科（循環器）,2.0
37,5,未配属,
13,5,本院-本院画像診断部,3.0
13,5,未配属,
46,6,葛飾-整形外科,4.0
46,6,未配属,
43,5,本院-耳鼻咽喉・頭頸部外科,7.0
43,5,未配属,
80,6,本院-麻酔科,8.0
80,6,未配属,
36,5,葛飾-整形外科,9.0
36,5,未配属,
66,8,葛飾-内科（腎臓・高血圧）,5.0
66,8,未配属,
96,8,葛飾-産婦人科,6.0
96,8,未配属,
56,7,本院-心臓外科,6.0
56,7,未配属,
28,5,本院-泌尿器科,20.0
28,5,未配属,
50,8,柏-内科（消化器・肝臓）,3.0
50,8,未配属,
59,8,本院-小児科,5.0
59,8,未配属,
100,5,本院-麻酔科,4.0
100,5,未配属,
69,9,本院-眼科,3.0
69,9,未配属,
30,5,第三-内科（消化器・肝臓）,2.0
30,5,未配属,
39,7,本院-眼科,4.0
39,7,未配属,
86,7,本院-本院画像診断部,6.0
86,7,未配属,
31,5,第三-分院放射線科,5.0
31,5,未配属,
35,7,柏-整形外科,4.0
35,7,未配属,
3,6,本院-内科（脳神経）,6.0
3,6,未配属,
23,8,本院-本院画像診断部,3.0
23,8,未配属,
25,6,第三-総合診療部（その他）,8.0
25,6,未配属,
89,7,柏-内科（消化器・肝臓）,2.0
89,7,未配属,
47,6,柏-産婦人科,7.0
47,6,未配属,
98,8,本院-内科（脳神経）,11.0
98,8,未配属,
73,5,本院-形成外科,10.0
73,5,未配属,
87,6,本院-内科（消化器・肝臓）,3.0
87,6,未配属,
90,8,本院-麻酔科,4.0
90,8,未配属,
33,5,葛飾-内科（循環器）,3.0
33,5,未配属,
24,6,柏-救急科,2.0
24,6,未配属,
109,6,葛飾-内科（腎臓・高血圧）,4.0
109,6,未配属,
104,7,本院-内科（脳神経）,8.0
104,7,未配属,
34,6,本院-内科（消化器・肝臓）,4.0
34,6,未配属,
76,5,第三-内科（呼吸器）,7.0
76,5,未配属,
101,8,葛飾-内科（循環器）,3.0
101,8,未配属,
84,6,本院-脳神経外科,5.0
84,6,未配属,
26,8,第三-内科（消化器・肝臓）,1.0
26,8,未配属,
15,7,本院-内科（脳神経）,7.0
15,7,未配属,
77,6,本院-小児科,4.0
77,6,未配属,
83,5,本院-泌尿器科,5.0
83,5,未配属,
95,9,本院-整形外科,4.0
95,9,未配属,
49,7,第三-総合診療部（その他）,6.0
49,7,未配属,
48,6,本院-内科（リウマチ・膠原病）,2.0
48,6,未配属,
19,5,本院-形成外科,6.0
19,5,未配属,
52,8,本院-麻酔科,16.0
52,8,未配属,
18,9,柏-救急科,7.0
18,9,未配属,
57,6,第三-内科（呼吸器）,7.0
57,6,未配属,
88,8,第三-分院外科,2.0
88,8,未配属,
1,8,葛飾-内科（呼吸器）,17.0
1,8,未配属,
99,8,本院-内科（脳神経）,5.0
99,8,未配属,
60,6,柏-救急科,17.0
60,6,未配属,
54,7,第三-内科（呼吸器）,4.0
54,7,未配属,
105,7,本院-感染制御科,7.0
105,7,未配属,
65,7,本院-本院画像診断部,4.0
65,7,未配属,
72,7,葛飾-分院放射線科,12.0
72,7,未配属,
93,8,本院-感染制御科,2.0
93,8,未配属,
45,8,第三-分院放射線科,7.0
45,8,未配属,
85,8,第三-内科（呼吸器）,3.0
85,8,未配属,
64,6,柏-泌尿器科,14.0
64,6,未配属,
68,7,本院-泌尿器科,4.0
68,7,未配属,
97,5,本院-内科（糖尿病・代謝・内分泌）,4.0
97,5,未配属,
29,9,葛飾-皮膚科,5.0
29,9,未配属,
91,9,葛飾-内科（呼吸器）,2.0
91,9,未配属,
14,6,柏-救急科,3.0
14,6,未配属,
21,8,本院-耳鼻咽喉・頭頸部外科,3.0
21,8,未配属,
78,9,葛飾-内科（消化器・肝臓）,1.0
78,9,未配属,
5,7,柏-内科（循環器）,7.0
5,7,未配属,
82,6,本院-麻酔科,6.0
82,6,未配属,
11,7,葛飾-内科（腎臓・高血圧）,4.0
11,7,未配属,
62,7,本院-形成外科,10.0
62,7,未配属,
61,8,柏-内科（循環器）,6.0
61,8,未配属,
32,8,柏-整形外科,8.0
32,8,未配属,
58,8,柏-救急科,9.0
58,8,未配属,
81,9,葛飾-内科（循環器）,8.0
81,9,未配属,
103,7,本院-麻酔科,4.0
103,7,未配属,
44,5,本院-脳神経外科,10.0
44,5,未配属,
51,7,第三-産婦人科,6.0
51,7,未配属,
106,8,本院-内科（消化器・肝臓）,2.0
106,8,未配属,
92,5,本院-脳神経外科,5.0
92,5,未配属,
79,8,柏-救急科,9.0
79,8,未配属,
40,5,未配属,
6,8,本院-内科（リウマチ・膠原病）,9.0
6,8,未配属,
102,5,本院-麻酔科,5.0
102,5,未配属,
27,8,本院-心臓外科,12.0
27,8,未配属,
38,8,第三-内科（循環器）,5.0
38,8,未配属,
70,8,本院-本院放射線治療部,4.0
70,8,未配属,
7,7,本院-本院放射線治療部,6.0
7,7,未配属,
4,6,本院-耳鼻咽喉・頭頸部外科,12.0
4,6,未配属,
94,5,本院-麻酔科,10.0
94,5,未配属,
71,6,第三-内科（脳神経）,10.0
71,6,未配属,
16,8,本院-内科（腎臓・高血圧）,16.0
16,8,未配属,
9,9,第三-産婦人科,4.0
9,9,未配属,
55,6,第三-分院外科,4.0
55,6,未配属,
2,8,葛飾-産婦人科,3.0
2,8,未配属,
41,8,柏-内科（リウマチ・膠原病）,15.0
41,8,未配属,
42,6,葛飾-内科（糖尿病・代謝・内分泌）,9.0
42,6,未配属,
20,5,本院-内科（消化器・肝臓）,7.0
20,5,未配属,
67,7,本院-内科（消化器・肝臓）,8.0
67,7,未配属,
108,8,柏-救急科,15.0
108,8,未配属,
8,7,柏-救急科,7.0
8,7,未配属,
22,9,本院-小児科,5.0
22,9,未配属,
12,5,本院-泌尿器科,10.0
12,5,未配属,
75,9,第三-内科（呼吸器）,4.0
75,9,未配属,
10,8,本院-精神神経科,4.0
10,8,未配属,
63,5,本院-内科（腫瘍・血液）,13.0
63,5,未配属,
17,7,本院-整形外科,9.0
17,7,未配属,
53,8,本院-耳鼻咽喉・頭頸部外科,1.0
53,8,未配属,
74,5,本院-心臓外科,11.0
74,5,未配属,
37,9,葛飾-産婦人科,4.0
37,9,未配属,
13,9,柏-内科（循環器）,10.0
13,9,未配属,
46,10,第三-内科（循環器）,6.0
46,10,未配属,
43,9,本院-精神神経科,9.0
43,9,未配属,
80,10,柏-内科（消化器・肝臓）,4.0
80,10,未配属,
36,9,本院-本院画像診断部,5.0
36,9,未配属,
66,9,本院-内科（消化器・肝臓）,6.0
66,9,未配属,
96,9,柏-内科（呼吸器）,7.0
96,9,未配属,
56,8,本院-眼科,8.0
56,8,未配属,
28,9,本院-内科（リウマチ・膠原病）,5.0
28,9,未配属,
50,11,柏-救急科,4.0
50,11,未配属,
59,9,本院-耳鼻咽喉・頭頸部外科,6.0
59,9,未配属,
100,9,本院-内科（腎臓・高血圧）,10.0
100,9,未配属,
69,10,葛飾-内科（消化器・肝臓）,4.0
69,10,未配属,
30,9,葛飾-眼科,3.0
30,9,未配属,
39,8,本院-麻酔科,6.0
39,8,未配属,
86,8,第三-小児科,9.0
86,8,未配属,
31,9,本院-形成外科,6.0
31,9,未配属,
35,8,本院-産婦人科,18.0
35,8,未配属,
3,10,本院-リハビリテーション科,3.0
3,10,未配属,
23,11,葛飾-内科（消化器・肝臓）,5.0
23,11,未配属,
25,10,柏-泌尿器科,10.0
25,10,未配属,
89,8,第三-内科（糖尿病・代謝・内分泌）,9.0
89,8,未配属,
47,10,本院-整形外科,5.0
47,10,未配属,
98,11,柏-内科（消化器・肝臓）,9.0
98,11,未配属,
73,9,葛飾-内科（腎臓・高血圧）,13.0
73,9,未配属,
87,10,第三-内科（消化器・肝臓）,8.0
87,10,未配属,
90,9,柏-整形外科,6.0
90,9,未配属,
33,9,第三-内科（腎臓・高血圧）,5.0
33,9,未配属,
24,10,本院-内科（リウマチ・膠原病）,3.0
24,10,未配属,
109,10,柏-内科（呼吸器）,13.0
109,10,未配属,
104,8,本院-泌尿器科,19.0
104,8,未配属,
34,10,柏-救急科,5.0
34,10,未配属,
76,9,本院-本院画像診断部,5.0
76,9,未配属,
101,11,本院-内科（リウマチ・膠原病）,5.0
101,11,未配属,
84,10,葛飾-内科（呼吸器）,6.0
84,10,未配属,
26,11,本院-心臓外科,5.0
26,11,未配属,
15,10,柏-分院外科,10.0
15,10,未配属,
77,10,葛飾-内科（循環器）,5.0
77,10,未配属,
83,9,柏-内科（消化器・肝臓）,8.0
83,9,未配属,
95,10,第三-総合診療部（その他）,5.0
95,10,未配属,
49,10,本院-産婦人科,7.0
49,10,未配属,
48,10,葛飾-内科（腎臓・高血圧）,8.0
48,10,未配属,
19,9,本院-脳神経外科,8.0
19,9,未配属,
52,9,未配属,
18,10,本院-内科（脳神経）,8.0
18,10,未配属,
57,10,葛飾-眼科,5.0
57,10,未配属,
88,11,葛飾-皮膚科,9.0
88,11,未配属,
1,9,本院-形成外科,9.0
1,9,未配属,
99,11,葛飾-内科（呼吸器）,7.0
99,11,未配属,
60,10,本院-内科（消化器・肝臓）,3.0
60,10,未配属,
54,8,第三-総合診療部（その他）,12.0
54,8,未配属,
105,10,柏-救急科,8.0
105,10,未配属,
65,10,葛飾-整形外科,5.0
65,10,未配属,
72,10,本院-心臓外科,4.0
72,10,未配属,
93,11,葛飾-内科（腎臓・高血圧）,5.0
93,11,未配属,
45,11,第三-内科（呼吸器）,9.0
45,11,未配属,
85,11,本院-耳鼻咽喉・頭頸部外科,5.0
85,11,未配属,
64,10,本院-内科（脳神経）,16.0
64,10,未配属,
68,10,本院-形成外科,8.0
68,10,未配属,
97,9,本院-耳鼻咽喉・頭頸部外科,5.0
97,9,未配属,
29,10,柏-救急科,6.0
29,10,未配属,
91,10,本院-産婦人科,14.0
91,10,未配属,
14,10,本院-本院画像診断部,2.0
14,10,未配属,
21,9,本院-脳神経外科,5.0
21,9,未配属,
78,10,本院-形成外科,6.0
78,10,未配属,
5,10,本院-リハビリテーション科,8.0
5,10,未配属,
82,10,本院-感染制御科,4.0
82,10,未配属,
11,10,柏-分院外科,9.0
11,10,未配属,
62,8,本院-本院画像診断部,5.0
62,8,未配属,
61,11,第三-内科（消化器・肝臓）,3.0
61,11,未配属,
32,11,本院-内科（消化器・肝臓）,14.0
32,11,未配属,
58,9,本院-感染制御科,3.0
58,9,未配属,
81,10,第三-産婦人科,15.0
81,10,未配属,
103,8,本院-内科（糖尿病・代謝・内分泌）,8.0
103,8,未配属,
44,9,未配属,
51,10,未配属,
106,9,本院-泌尿器科,13.0
106,9,未配属,
92,9,第三-内科（消化器・肝臓）,10.0
92,9,未配属,
79,11,本院-リハビリテーション科,4.0
79,11,未配属,
40,9,葛飾-内科（糖尿病・代謝・内分泌）,18.0
40,9,未配属,
6,11,柏-内科（呼吸器）,4.0
6,11,未配属,
102,9,本院-内視鏡部,8.0
102,9,未配属,
27,9,本院-内科（消化器・肝臓）,4.0
27,9,未配属,
38,11,本院-リハビリテーション科,9.0
38,11,未配属,
70,11,本院-精神神経科,13.0
70,11,未配属,
7,10,本院-麻酔科,9.0
7,10,未配属,
4,10,第三-内科（呼吸器）,13.0
4,10,未配属,
94,9,本院-精神神経科,14.0
94,9,未配属,
71,10,本院-本院画像診断部,6.0
71,10,未配属,
16,11,柏-内科（リウマチ・膠原病）,17.0
16,11,未配属,
9,10,本院-内視鏡部,6.0
9,10,未配属,
55,10,葛飾-産婦人科,6.0
55,10,未配属,
2,9,本院-心臓外科,9.0
2,9,未配属,
41,11,葛飾-内科（循環器）,13.0
41,11,未配属,
42,10,本院-内科（消化器・肝臓）,13.0
42,10,未配属,
20,9,本院-麻酔科,20.0
20,9,未配属,
67,8,第三-総合診療部（その他）,14.0
67,8,未配属,
108,11,本院-泌尿器科,17.0
108,11,未配属,
8,8,未配属,
22,10,第三-内科（腎臓・高血圧）,7.0
22,10,未配属,
12,9,第三-内科（糖尿病・代謝・内分泌）,13.0
12,9,未配属,
75,10,本院-内視鏡部,5.0
75,10,未配属,
10,11,本院-整形外科,8.0
10,11,未配属,
63,9,本院-内科（脳神経）,11.0
63,9,未配属,
17,10,葛飾-皮膚科,12.0
17,10,未配属,
53,11,本院-眼科,12.0
53,11,未配属,
74,9,未配属,
37,10,本院-麻酔科,11.0
37,10,未配属,
