assigned_department,term,抽選順位推定ライン,分位点
未配属,1,1.0,0.0
未配属,2,2.0,0.0
未配属,3,8.0,0.0
未配属,4,1.0,0.0
未配属,5,1.0,0.0
未配属,6,2.0,0.0
未配属,7,8.0,0.0
未配属,8,6.0,0.0
未配属,9,1.0,0.0
未配属,10,2.0,0.0
未配属,11,10.0,0.0
本院-リハビリテーション科,3,64.0,1.0
本院-リハビリテーション科,4,72.0,1.0
本院-リハビリテーション科,5,51.0,1.0
本院-リハビリテーション科,6,52.0,1.0
本院-リハビリテーション科,7,15.0,1.0
本院-リハビリテーション科,10,109.0,1.0
本院-リハビリテーション科,11,50.0,1.0
本院-内科（リウマチ・膠原病）,3,70.0,1.0
本院-内科（リウマチ・膠原病）,4,86.0,1.0
本院-内科（リウマチ・膠原病）,5,103.0,1.0
本院-内科（リウマチ・膠原病）,8,91.0,1.0
本院-内科（リウマチ・膠原病）,9,28.0,1.0
本院-内科（呼吸器）,1,79.0,1.0
本院-内科（呼吸器）,4,97.0,1.0
本院-内科（呼吸器）,7,38.0,1.0
本院-内科（呼吸器）,10,67.0,1.0
本院-内科（循環器）,1,7.0,1.0
本院-内科（循環器）,2,88.0,1.0
本院-内科（循環器）,3,31.0,1.0
本院-内科（循環器）,4,78.0,1.0
本院-内科（循環器）,6,87.0,1.0
本院-内科（消化器・肝臓）,1,1.0,1.0
本院-内科（消化器・肝臓）,2,63.0,1.0
本院-内科（消化器・肝臓）,3,67.0,1.0
本院-内科（消化器・肝臓）,4,84.0,1.0
本院-内科（消化器・肝臓）,5,90.0,1.0
本院-内科（消化器・肝臓）,6,106.0,1.0
本院-内科（消化器・肝臓）,8,86.0,1.0
本院-内科（消化器・肝臓）,9,17.0,1.0
本院-内科（消化器・肝臓）,10,74.0,1.0
本院-内科（糖尿病・代謝・内分泌）,1,89.0,1.0
本院-内科（糖尿病・代謝・内分泌）,2,41.0,1.0
本院-内科（糖尿病・代謝・内分泌）,4,104.0,1.0
本院-内科（糖尿病・代謝・内分泌）,6,19.0,1.0
本院-内科（糖尿病・代謝・内分泌）,7,98.0,1.0
本院-内科（糖尿病・代謝・内分泌）,9,45.0,1.0
本院-内科（脳神経）,1,84.0,1.0
本院-内科（脳神経）,2,93.0,1.0
本院-内科（脳神経）,3,106.0,1.0
本院-内科（脳神経）,4,25.0,1.0
本院-内科（脳神経）,5,46.0,1.0
本院-内科（脳神経）,8,94.0,1.0
本院-内科（脳神経）,9,26.0,1.0
本院-内科（脳神経）,10,92.0,1.0
本院-内科（腎臓・高血圧）,1,44.0,1.0
本院-内科（腎臓・高血圧）,5,34.0,1.0
本院-内科（腎臓・高血圧）,8,45.0,1.0
本院-内科（腎臓・高血圧）,9,105.0,1.0
本院-内科（腫瘍・血液）,1,81.0,1.0
本院-内視鏡部,3,77.0,1.0
本院-内視鏡部,4,71.0,1.0
本院-内視鏡部,6,8.0,1.0
本院-内視鏡部,8,73.0,1.0
本院-小児科,2,13.0,1.0
本院-小児科,8,100.0,1.0
本院-小児科,11,80.0,1.0
本院-形成外科,1,28.0,1.0
本院-形成外科,2,62.0,1.0
本院-形成外科,3,96.0,1.0
本院-形成外科,4,107.0,1.0
本院-形成外科,5,76.0,1.0
本院-形成外科,6,88.0,1.0
本院-形成外科,9,65.0,1.0
本院-形成外科,10,77.0,1.0
本院-心臓外科,1,72.0,1.0
本院-心臓外科,4,61.0,1.0
本院-心臓外科,5,43.0,1.0
本院-心臓外科,7,18.0,1.0
本院-心臓外科,8,65.0,1.0
本院-心臓外科,9,109.0,1.0
本院-心臓外科,10,4.0,1.0
本院-感染制御科,2,19.0,1.0
本院-感染制御科,3,10.0,1.0
本院-感染制御科,4,91.0,1.0
本院-感染制御科,5,68.0,1.0
本院-感染制御科,6,55.0,1.0
本院-感染制御科,7,87.0,1.0
本院-感染制御科,8,25.0,1.0
本院-感染制御科,9,92.0,1.0
本院-感染制御科,10,31.0,1.0
本院-感染制御科,11,72.0,1.0
本院-救急科,1,105.0,1.0
本院-救急科,2,96.0,1.0
本院-救急科,4,99.0,1.0
本院-救急科,5,109.0,1.0
本院-救急科,6,59.0,1.0
本院-救急科,10,66.0,1.0
本院-整形外科,1,25.0,1.0
本院-整形外科,2,34.0,1.0
本院-整形外科,3,75.0,1.0
本院-整形外科,4,95.0,1.0
本院-整形外科,5,29.0,1.0
本院-整形外科,6,60.0,1.0
本院-整形外科,10,39.0,1.0
本院-整形外科,11,107.0,1.0
本院-本院放射線治療部,1,49.0,1.0
本院-本院放射線治療部,3,47.0,1.0
本院-本院放射線治療部,6,32.0,1.0
本院-本院放射線治療部,7,55.0,1.0
本院-本院放射線治療部,8,82.0,1.0
本院-本院放射線治療部,9,66.0,1.0
本院-本院画像診断部,1,6.0,1.0
本院-本院画像診断部,2,103.0,1.0
本院-本院画像診断部,3,54.0,1.0
本院-本院画像診断部,4,102.0,1.0
本院-本院画像診断部,6,69.0,1.0
本院-本院画像診断部,7,16.0,1.0
本院-本院画像診断部,8,56.0,1.0
本院-本院画像診断部,9,40.0,1.0
本院-本院画像診断部,10,51.0,1.0
本院-泌尿器科,2,74.0,1.0
本院-泌尿器科,3,88.0,1.0
本院-泌尿器科,5,1.0,1.0
本院-泌尿器科,8,85.0,1.0
本院-産婦人科,1,73.0,1.0
本院-産婦人科,2,101.0,1.0
本院-産婦人科,5,89.0,1.0
本院-眼科,1,57.0,1.0
本院-眼科,2,108.0,1.0
本院-眼科,3,95.0,1.0
本院-眼科,5,97.0,1.0
本院-眼科,6,38.0,1.0
本院-眼科,7,54.0,1.0
本院-眼科,8,72.0,1.0
本院-眼科,10,60.0,1.0
本院-精神神経科,1,12.0,1.0
本院-精神神経科,2,36.0,1.0
本院-精神神経科,3,100.0,1.0
本院-精神神経科,4,65.0,1.0
本院-精神神経科,5,14.0,1.0
本院-精神神経科,6,77.0,1.0
本院-精神神経科,7,75.0,1.0
本院-精神神経科,8,16.0,1.0
本院-精神神経科,9,29.0,1.0
本院-耳鼻咽喉・頭頸部外科,3,85.0,1.0
本院-耳鼻咽喉・頭頸部外科,4,89.0,1.0
本院-耳鼻咽喉・頭頸部外科,5,3.0,1.0
本院-耳鼻咽喉・頭頸部外科,6,64.0,1.0
本院-耳鼻咽喉・頭頸部外科,8,20.0,1.0
本院-耳鼻咽喉・頭頸部外科,9,84.0,1.0
本院-耳鼻咽喉・頭頸部外科,10,24.0,1.0
本院-脳神経外科,1,78.0,1.0
本院-脳神経外科,2,83.0,1.0
本院-脳神経外科,3,93.0,1.0
本院-脳神経外科,4,49.0,1.0
本院-脳神経外科,5,79.0,1.0
本院-脳神経外科,8,99.0,1.0
本院-麻酔科,2,51.0,1.0
本院-麻酔科,3,98.0,1.0
本院-麻酔科,5,92.0,1.0
本院-麻酔科,8,80.0,1.0
本院-麻酔科,9,97.0,1.0
本院-麻酔科,10,69.0,1.0
柏-内科（リウマチ・膠原病）,5,101.0,1.0
柏-内科（リウマチ・膠原病）,8,15.0,1.0
柏-内科（リウマチ・膠原病）,9,73.0,1.0
柏-内科（リウマチ・膠原病）,11,48.0,1.0
柏-内科（呼吸器）,1,29.0,1.0
柏-内科（呼吸器）,2,22.0,1.0
柏-内科（呼吸器）,3,38.0,1.0
柏-内科（呼吸器）,4,28.0,1.0
柏-内科（呼吸器）,5,66.0,1.0
柏-内科（呼吸器）,6,16.0,1.0
柏-内科（呼吸器）,9,11.0,1.0
柏-内科（呼吸器）,10,19.0,1.0
柏-内科（呼吸器）,11,37.0,1.0
柏-内科（循環器）,1,45.0,1.0
柏-内科（循環器）,4,105.0,1.0
柏-内科（循環器）,6,22.0,1.0
柏-内科（循環器）,9,3.0,1.0
柏-内科（循環器）,10,103.0,1.0
柏-内科（消化器・肝臓）,1,3.0,1.0
柏-内科（消化器・肝臓）,2,24.0,1.0
柏-内科（消化器・肝臓）,3,53.0,1.0
柏-内科（消化器・肝臓）,4,29.0,1.0
柏-内科（消化器・肝臓）,5,4.0,1.0
柏-内科（消化器・肝臓）,6,67.0,1.0
柏-内科（消化器・肝臓）,7,23.0,1.0
柏-内科（消化器・肝臓）,8,7.0,1.0
柏-内科（消化器・肝臓）,9,62.0,1.0
柏-内科（消化器・肝臓）,10,36.0,1.0
柏-内科（消化器・肝臓）,11,20.0,1.0
柏-内科（脳神経）,2,5.0,1.0
柏-内科（脳神経）,5,83.0,1.0
柏-内科（脳神経）,9,102.0,1.0
柏-分院外科,1,83.0,1.0
柏-分院外科,6,30.0,1.0
柏-形成外科,10,90.0,1.0
柏-救急科,1,97.0,1.0
柏-救急科,2,90.0,1.0
柏-救急科,5,108.0,1.0
柏-救急科,6,43.0,1.0
柏-救急科,7,106.0,1.0
柏-救急科,8,75.0,1.0
柏-救急科,10,101.0,1.0
柏-整形外科,9,89.0,1.0
柏-整形外科,10,54.0,1.0
柏-泌尿器科,3,15.0,1.0
柏-泌尿器科,5,40.0,1.0
柏-泌尿器科,6,53.0,1.0
柏-泌尿器科,8,84.0,1.0
柏-泌尿器科,9,94.0,1.0
柏-泌尿器科,10,22.0,1.0
柏-泌尿器科,11,56.0,1.0
柏-産婦人科,2,39.0,1.0
柏-産婦人科,6,90.0,1.0
柏-精神神経科,10,43.0,1.0
第三-内科（呼吸器）,1,34.0,1.0
第三-内科（呼吸器）,2,66.0,1.0
第三-内科（呼吸器）,3,55.0,1.0
第三-内科（呼吸器）,4,3.0,1.0
第三-内科（呼吸器）,5,17.0,1.0
第三-内科（呼吸器）,6,100.0,1.0
第三-内科（呼吸器）,8,35.0,1.0
第三-内科（呼吸器）,9,44.0,1.0
第三-内科（呼吸器）,10,47.0,1.0
第三-内科（呼吸器）,11,82.0,1.0
第三-内科（循環器）,2,31.0,1.0
第三-内科（循環器）,3,86.0,1.0
第三-内科（循環器）,4,7.0,1.0
第三-内科（循環器）,9,79.0,1.0
第三-内科（循環器）,10,96.0,1.0
第三-内科（消化器・肝臓）,1,102.0,1.0
第三-内科（消化器・肝臓）,2,27.0,1.0
第三-内科（消化器・肝臓）,3,52.0,1.0
第三-内科（消化器・肝臓）,4,48.0,1.0
第三-内科（消化器・肝臓）,5,41.0,1.0
第三-内科（消化器・肝臓）,6,31.0,1.0
第三-内科（消化器・肝臓）,8,50.0,1.0
第三-内科（消化器・肝臓）,9,63.0,1.0
第三-内科（消化器・肝臓）,10,13.0,1.0
第三-内科（消化器・肝臓）,11,57.0,1.0
第三-内科（糖尿病・代謝・内分泌）,1,9.0,1.0
第三-内科（糖尿病・代謝・内分泌）,2,26.0,1.0
第三-内科（糖尿病・代謝・内分泌）,4,20.0,1.0
第三-内科（糖尿病・代謝・内分泌）,5,44.0,1.0
第三-内科（糖尿病・代謝・内分泌）,8,78.0,1.0
第三-内科（糖尿病・代謝・内分泌）,9,74.0,1.0
第三-内科（糖尿病・代謝・内分泌）,10,88.0,1.0
第三-内科（糖尿病・代謝・内分泌）,11,85.0,1.0
第三-内科（腎臓・高血圧）,6,68.0,1.0
第三-内科（腎臓・高血圧）,8,28.0,1.0
第三-内科（腎臓・高血圧）,9,78.0,1.0
第三-内科（腎臓・高血圧）,10,59.0,1.0
第三-分院外科,1,108.0,1.0
第三-分院外科,7,100.0,1.0
第三-分院外科,8,104.0,1.0
第三-分院放射線科,3,69.0,1.0
第三-分院放射線科,6,54.0,1.0
第三-分院放射線科,8,18.0,1.0
第三-小児科,11,86.0,1.0
第三-整形外科,1,71.0,1.0
第三-整形外科,2,68.0,1.0
第三-整形外科,4,35.0,1.0
第三-泌尿器科,2,109.0,1.0
第三-泌尿器科,3,39.0,1.0
第三-泌尿器科,5,74.0,1.0
第三-泌尿器科,9,101.0,1.0
第三-泌尿器科,10,106.0,1.0
第三-泌尿器科,11,25.0,1.0
第三-産婦人科,7,32.0,1.0
第三-産婦人科,9,76.0,1.0
第三-総合診療部（その他）,1,26.0,1.0
第三-総合診療部（その他）,3,60.0,1.0
第三-総合診療部（その他）,4,94.0,1.0
第三-総合診療部（その他）,5,61.0,1.0
第三-総合診療部（その他）,6,39.0,1.0
第三-総合診療部（その他）,7,53.0,1.0
第三-総合診療部（その他）,8,95.0,1.0
第三-総合診療部（その他）,9,103.0,1.0
第三-総合診療部（その他）,10,64.0,1.0
第三-総合診療部（その他）,11,99.0,1.0
葛飾-内科（呼吸器）,1,35.0,1.0
葛飾-内科（呼吸器）,2,33.0,1.0
葛飾-内科（呼吸器）,3,99.0,1.0
葛飾-内科（呼吸器）,4,40.0,1.0
葛飾-内科（呼吸器）,5,105.0,1.0
葛飾-内科（呼吸器）,6,93.0,1.0
葛飾-内科（呼吸器）,7,69.0,1.0
葛飾-内科（呼吸器）,8,71.0,1.0
葛飾-内科（呼吸器）,9,108.0,1.0
葛飾-内科（呼吸器）,10,27.0,1.0
葛飾-内科（呼吸器）,11,91.0,1.0
葛飾-内科（循環器）,1,48.0,1.0
葛飾-内科（循環器）,2,17.0,1.0
葛飾-内科（循環器）,3,18.0,1.0
葛飾-内科（循環器）,4,50.0,1.0
葛飾-内科（循環器）,5,62.0,1.0
葛飾-内科（循環器）,6,98.0,1.0
葛飾-内科（循環器）,8,57.0,1.0
葛飾-内科（循環器）,9,1.0,1.0
葛飾-内科（循環器）,10,68.0,1.0
葛飾-内科（循環器）,11,104.0,1.0
葛飾-内科（消化器・肝臓）,1,11.0,1.0
葛飾-内科（消化器・肝臓）,2,2.0,1.0
葛飾-内科（消化器・肝臓）,3,82.0,1.0
葛飾-内科（消化器・肝臓）,4,45.0,1.0
葛飾-内科（消化器・肝臓）,5,22.0,1.0
葛飾-内科（消化器・肝臓）,6,42.0,1.0
葛飾-内科（消化器・肝臓）,9,46.0,1.0
葛飾-内科（消化器・肝臓）,10,30.0,1.0
葛飾-内科（消化器・肝臓）,11,58.0,1.0
葛飾-内科（糖尿病・代謝・内分泌）,4,37.0,1.0
葛飾-内科（糖尿病・代謝・内分泌）,6,96.0,1.0
葛飾-内科（糖尿病・代謝・内分泌）,9,41.0,1.0
葛飾-内科（糖尿病・代謝・内分泌）,10,46.0,1.0
葛飾-内科（糖尿病・代謝・内分泌）,11,95.0,1.0
葛飾-内科（腎臓・高血圧）,1,94.0,1.0
葛飾-内科（腎臓・高血圧）,4,73.0,1.0
葛飾-内科（腎臓・高血圧）,5,102.0,1.0
葛飾-内科（腎臓・高血圧）,6,70.0,1.0
葛飾-内科（腎臓・高血圧）,8,58.0,1.0
葛飾-内科（腎臓・高血圧）,9,12.0,1.0
葛飾-内科（腎臓・高血圧）,10,2.0,1.0
葛飾-分院外科,4,56.0,1.0
葛飾-分院放射線科,8,107.0,1.0
葛飾-分院放射線科,10,93.0,1.0
葛飾-整形外科,2,92.0,1.0
葛飾-整形外科,3,27.0,1.0
葛飾-整形外科,5,81.0,1.0
葛飾-整形外科,6,23.0,1.0
葛飾-整形外科,7,70.0,1.0
葛飾-整形外科,8,6.0,1.0
葛飾-整形外科,9,61.0,1.0
葛飾-整形外科,10,53.0,1.0
葛飾-整形外科,11,10.0,1.0
葛飾-泌尿器科,9,13.0,1.0
葛飾-産婦人科,4,58.0,1.0
葛飾-産婦人科,5,26.0,1.0
葛飾-産婦人科,6,75.0,1.0
葛飾-産婦人科,7,67.0,1.0
葛飾-産婦人科,9,14.0,1.0
葛飾-皮膚科,3,30.0,1.0
葛飾-皮膚科,5,13.0,1.0
葛飾-皮膚科,7,52.0,1.0
葛飾-皮膚科,8,32.0,1.0
葛飾-皮膚科,9,6.0,1.0
葛飾-眼科,1,107.0,1.0
葛飾-眼科,3,104.0,1.0
葛飾-眼科,9,83.0,1.0
葛飾-眼科,10,55.0,1.0
